Order,Name,URL,Sales,Negative,Positive,Category,Rating,Chat Response (%),Follower,Quantity Discount,Quantity Type Product,Year Join
1,Abbott,https://shopee.vn/abbottofficial,4975320050.0,74,130,Mẹ & Bé,4.9,100,184900.0,0,4,3
2,Adidas Official Store,https://shopee.vn/adidasofficialstore,3169571800.0,30,85,Thể Thao & Du Lịch,4.8,98,774500.0,2,19,4
3,Alobuy,https://shopee.vn/1khovn_bach_hoa_tien_loi,84327000.0,58,188,Nhà Sách Online,4.9,71,16400.0,0,10,6
4,Amak,https://shopee.vn/nhasachamak,565217900.0,968,3290,Nhà Sách Online,4.9,52,48200.0,0,9,5
5,An Nguyên,https://shopee.vn/sachhayquanhieu,83357515.0,225,829,Nhà Sách Online,4.9,62,10300.0,0,6,4
6,Anbert Manga,https://shopee.vn/anbertmangashop,23414000.0,176,432,Nhà Sách Online,4.9,65,30700.0,0,8,6
7,Anbert Manga Shop ,https://shopee.vn/anbertmangashop3103,414722300.0,77,156,Nhà Sách Online,4.9,84,29000.0,0,21,1
8,Anessa,https://shopee.vn/anessaofficialstore,8683648000.0,321,1305,Sắc Đẹp,4.9,100,300400.0,0,6,4
9,Anker,https://shopee.vn/ankervn,862052500.0,311,1130,Điện Thoại & Phụ Kiện,4.9,77,214600.0,0,10,5
10,Anlene,https://shopee.vn/anlene_officialstore,1698323000.0,683,1965,Bách Hóa Online,4.9,100,78100.0,0,11,3
11,Babyhop,https://shopee.vn/babyhop_store,488358000.0,204,1239,Đồ Chơi,5.0,97,94300.0,1,12,5
12,Balo 4.0,https://shopee.vn/balocongnghe,742696000.0,159,916,Túi Ví Nữ,4.8,92,57700.0,0,12,4
13,Bam Kitchen,https://shopee.vn/bambamstore274,193755300.0,376,1251,Nhà Cửa & Đời Sống,4.9,96,57300.0,10,11,4
14,Bánh Mì,https://shopee.vn/hieusachbanhmi,179730890.0,73,388,Nhà Sách Online,5.0,88,23000.0,0,13,5
15,Banxeer,https://shopee.vn/banxeer.vn,144861500.0,978,3574,Sắc Đẹp,4.9,95,79900.0,8,9,2
16,Bảo Ngọc Jewelry,https://shopee.vn/baongocjewelry,82318365.0,392,1502,Phụ Kiện & Trang Sức Nữ,4.9,91,121100.0,11,14,6
17,Baseus Official Shop,https://shopee.vn/baseus.official.mall.vn,5606765000.0,1778,6733,Thiết Bị Điện Tử,4.9,99,441000.0,1,20,3
18,Basike Official Store ,https://shopee.vn/basike.vn,90549000.0,219,614,Điện Thoại & Phụ Kiện,4.9,69,28700.0,5,12,1
