Order,Name,URL,Rating,Chat Response (%),Follower
1,Abbott,https://shopee.vn/abbottofficial,4.9,100,184900.0
2,Adidas Official Store,https://shopee.vn/adidasofficialstore,4.8,98,774500.0
3,Alobuy,https://shopee.vn/1khovn_bach_hoa_tien_loi,4.9,71,16400.0
4,Amak,https://shopee.vn/nhasachamak,4.9,52,48200.0
5,An Nguyên,https://shopee.vn/sachhayquanhieu,4.9,62,10300.0
6,Anbert Manga,https://shopee.vn/anbertmangashop,4.9,65,30700.0
7,Anbert Manga Shop ,https://shopee.vn/anbertmangashop3103,4.9,84,29000.0
8,Anessa,https://shopee.vn/anessaofficialstore,4.9,100,300400.0
9,Anker,https://shopee.vn/ankervn,4.9,77,214600.0
10,Anlene,https://shopee.vn/anlene_officialstore,4.9,100,78100.0
11,Babyhop,https://shopee.vn/babyhop_store,5.0,97,94300.0
12,Balo 4.0,https://shopee.vn/balocongnghe,4.8,92,57700.0
13,Bam Kitchen,https://shopee.vn/bambamstore274,4.9,96,57300.0
14,Bánh Mì,https://shopee.vn/hieusachbanhmi,5.0,88,23000.0
15,Banxeer,https://shopee.vn/banxeer.vn,4.9,95,79900.0
16,Bảo Ngọc Jewelry,https://shopee.vn/baongocjewelry,4.9,91,121100.0
17,Baseus Official Shop,https://shopee.vn/baseus.official.mall.vn,4.9,99,441000.0
18,Basike Official Store ,https://shopee.vn/basike.vn,4.9,69,28700.0
19,Batino,https://shopee.vn/chovietbtw,4.8,92,23600.0
20,Bbia,https://shopee.vn/bbia_officialstore,5.0,99,570300.0
21,CAPMAN,https://shopee.vn/cap.man,5.0,99,236900.0
22,CChat Clothes,https://shopee.vn/cchatclotheshn,4.9,90,196900.0
23,Cenota,https://shopee.vn/cenotaofficial,4.9,98,172600.0
24,Cerelac,https://shopee.vn/nestlevnn,4.9,100,336000.0
25,Chaang,https://shopee.vn/chaangvietnam,4.9,91,73300.0
26,Choobe,https://shopee.vn/choobe.official,5.0,99,579600.0
27,Cindy Perfume Vietnam,https://shopee.vn/scc_officialstore,4.9,100,133600.0
28,CkeyiN,https://shopee.vn/ckeyin.vn,4.8,100,306500.0
29,Clean & Clear,https://shopee.vn/johnson_johnson_official,4.9,92,250700.0
30,CNT,https://shopee.vn/tuixachcnt,4.9,81,119100.0
31,Dabo,https://shopee.vn/thovaushop_officialstore,4.9,48,44300.0
32,DAVIES,https://shopee.vn/davies.vn,5.0,100,383100.0
33,Decathlon,https://shopee.vn/decathlon_vietnam,4.9,95,139100.0
34,Deli,https://shopee.vn/delivietnam,4.9,100,619400.0
35,DHC,https://shopee.vn/dhc_officialstore,5.0,88,693900.0
36,Dincox Official Store,https://shopee.vn/dincox_shoes,4.9,100,165300.0
37,Dirty Coins,https://shopee.vn/dirtycoins,4.9,93,299500.0
38,Dk Harvest Official Store,https://shopee.vn/dk_harvest,5.0,94,214600.0
39,Đồ dùng làm vườn Green Home,https://shopee.vn/garden_tools_greenhome,5.0,97,18200.0
40,Dr. Saffron,https://shopee.vn/dr.saffron_official_store,4.9,99,93000.0
41,Earldom,https://shopee.vn/earldom.store,4.9,94,58900.0
42,EL Mart,https://shopee.vn/elmartvn,4.8,99,16600.0
43,Eleanor Accessories,https://shopee.vn/eleanoraccessories,5.0,99,190700.0
44,Emmi,https://shopee.vn/emmibedding,4.7,86,108500.0
45,Enchanteur,https://shopee.vn/enchanteur_vietnam,4.9,100,250600.0
46,Enfa,https://shopee.vn/enfaofficialstore,4.9,100,135100.0
47,Erosska,https://shopee.vn/erosska,4.9,93,743300.0
48,Essager,https://shopee.vn/essager.vn,4.9,91,45100.0
49,Eucerin,https://shopee.vn/eucerin.officialstore,4.9,100,261200.0
50,Everest,https://shopee.vn/thoitrangeverest,4.8,96,90100.0
51,F8888,https://shopee.vn/hangcongty,4.7,13,27400.0
52,Fahasa,https://shopee.vn/fahasa.com,5.0,91,226800.0
53,Famapro Official Store,https://shopee.vn/khautrangytefamapro,4.9,67,99100.0
54,Farmasi,https://shopee.vn/kissnewyork_officialstore,4.9,60,128300.00000000001
55,Fasvin,https://shopee.vn/fasvin,5.0,100,129400.0
56,Feaer Denim,https://shopee.vn/feaer_store,5.0,100,361500.0
57,Finetoo Official Store ,https://shopee.vn/finetoo.vn,4.9,90,99900.0
58,Fortune Mouse,https://shopee.vn/fortunemouseofficial,4.8,80,102300.0
59,Francia Beauty,https://shopee.vn/franciabeauty_officialstore,4.9,79,276700.0
60,gau194_official,https://shopee.vn/gau194_official,4.9,98,53800.0
61,Hapas Official Store,https://shopee.vn/hapas.official,4.9,100,463700.0
62,Haras,https://shopee.vn/harashop.vn,4.8,67,25400.0
63,HDY,https://shopee.vn/toymall1.vn,4.8,94,62000.0
64,Head & Shoulders,https://shopee.vn/pg_officialstorevn,4.9,100,389200.0
65,Himalaya,https://shopee.vn/himalayaherbalsvn,4.9,89,143800.0
66,HIPP,https://shopee.vn/hippofficialstore,5.0,100,79100.0
67,Hisexy.vn,https://shopee.vn/hisexy.vn,4.9,100,84200.0
68,Hobby Home Decor,https://shopee.vn/vnhobbyshop,4.9,95,39900.0
69,Hoco Official Store,https://shopee.vn/hoco_flagship_official_store,4.9,87,123700.0
70,Hồng Ánh,https://shopee.vn/gepo.vn,4.9,100,65700.0
71,iBasic,https://shopee.vn/ibasicvietnam,4.9,98,326000.0
72,Imagic,https://shopee.vn/imagic_official.vn,4.9,80,137100.0
73,Innisfree,https://shopee.vn/innisfreevietnam_officialstore,4.9,91,1400000.0
74,Inochi,https://shopee.vn/inochivietnam,4.9,79,154000.0
75,IPM Việt Nam,https://shopee.vn/ipm_vn,5.0,88,47400.0
76,Ivy Moda,https://shopee.vn/ivymoda,4.9,100,331200.0
77,Jeliva,https://shopee.vn/jeliva.vn,5.0,100,93100.0
78,Johnson & Johnson,https://shopee.vn/johnson_johnson_official,4.9,92,250700.0
79,Julyhouse,https://shopee.vn/julyhouse_essoil,4.9,99,324600.0
80,Juno Official Store,https://shopee.vn/juno.officialstore,4.9,96,475800.0
81,Kamong Official Store,https://shopee.vn/kamongclothing,5.0,100,193700.0
82,Kamong Official,https://shopee.vn/kamongclothing,5.0,100,193700.0
83,Kim Đồng,https://shopee.vn/nxbkimdong,5.0,65,115000.0
84,Kimuse,https://shopee.vn/kimusecosmetics.vn,4.9,94,323600.0
85,King Beauty,https://shopee.vn/kingbeauty_officialstore,4.9,87,143600.0
86,Kinh Đô Official Store,https://shopee.vn/kinhdo_official_store,4.9,100,218300.0
87,Kitekat,https://shopee.vn/mars_petcare,4.9,90,307900.0
88,Kobi,https://shopee.vn/kobimart,5.0,96,44200.0
89,Kojiba,https://shopee.vn/kojibavn,4.7,99,175600.0
90,Krystal,https://shopee.vn/krystal.vn,5.0,84,160600.0
91,"""lovito.vn	""",https://shopee.vn/lovito.vn,4.9,99,847600.0
92,La Roche-Posay,https://shopee.vn/larocheposay_officialstore,4.9,41,1300000.0
93,Labelle Vie,https://shopee.vn/labellevie.vn,4.9,96,137500.0
94,Lados,https://shopee.vn/nguonhangthoitrang,4.9,99,275500.0
95,Laikou Official Store,https://shopee.vn/laikou.vn,4.9,100,202900.0
96,Lamuseland,https://shopee.vn/lamuseland.vn,4.9,81,101500.0
97,Laneige,https://shopee.vn/laneigevn_officialstore,5.0,98,833400.0
98,Lata,https://shopee.vn/latahcm,4.9,100,520200.00000000006
99,Latashop,https://shopee.vn/latahcm,4.9,100,520200.00000000006
100,Laza,https://shopee.vn/lazashop.vn,4.8,83,174600.0
