Order,Name,URL,Negative,Positive
1,Abbott,https://shopee.vn/abbottofficial,74,130
2,Adidas Official Store,https://shopee.vn/adidasofficialstore,30,85
3,Alobuy,https://shopee.vn/1khovn_bach_hoa_tien_loi,58,188
4,Amak,https://shopee.vn/nhasachamak,968,3290
5,An Nguyên,https://shopee.vn/sachhayquanhieu,225,829
6,Anbert Manga,https://shopee.vn/anbertmangashop,176,432
7,Anbert Manga Shop ,https://shopee.vn/anbertmangashop3103,77,156
8,Anessa,https://shopee.vn/anessaofficialstore,321,1305
9,Anker,https://shopee.vn/ankervn,311,1130
10,Anlene,https://shopee.vn/anlene_officialstore,683,1965
11,Babyhop,https://shopee.vn/babyhop_store,204,1239
12,Balo 4.0,https://shopee.vn/balocongnghe,159,916
13,Bam Kitchen,https://shopee.vn/bambamstore274,376,1251
14,Bánh Mì,https://shopee.vn/hieusachbanhmi,73,388
15,Banxeer,https://shopee.vn/banxeer.vn,978,3574
16,Bảo Ngọc Jewelry,https://shopee.vn/baongocjewelry,392,1502
17,Baseus Official Shop,https://shopee.vn/baseus.official.mall.vn,1778,6733
18,Basike Official Store ,https://shopee.vn/basike.vn,219,614
19,Batino,https://shopee.vn/chovietbtw,203,531
20,Bbia,https://shopee.vn/bbia_officialstore,354,2494
21,CAPMAN,https://shopee.vn/cap.man,174,1116
22,CChat Clothes,https://shopee.vn/cchatclotheshn,94,188
23,Cenota,https://shopee.vn/cenotaofficial,1405,3452
24,Cerelac,https://shopee.vn/nestlevnn,1290,4414
25,Chaang,https://shopee.vn/chaangvietnam,18,54
26,Choobe,https://shopee.vn/choobe.official,1377,7173
27,Cindy Perfume Vietnam,https://shopee.vn/scc_officialstore,1991,4526
28,CkeyiN,https://shopee.vn/ckeyin.vn,1837,5093
29,Clean & Clear,https://shopee.vn/johnson_johnson_official,2001,5539
30,CNT,https://shopee.vn/tuixachcnt,560,2169
31,Dabo,https://shopee.vn/thovaushop_officialstore,530,1706
32,DAVIES,https://shopee.vn/davies.vn,494,2150
33,Decathlon,https://shopee.vn/decathlon_vietnam,2,80
34,Deli,https://shopee.vn/delivietnam,2604,11183
35,DHC,https://shopee.vn/dhc_officialstore,2384,7779
36,Dincox Official Store,https://shopee.vn/dincox_shoes,464,2235
37,Dirty Coins,https://shopee.vn/dirtycoins,185,882
38,Dk Harvest Official Store,https://shopee.vn/dk_harvest,681,2396
39,Đồ dùng làm vườn Green Home,https://shopee.vn/garden_tools_greenhome,75,333
40,Dr. Saffron,https://shopee.vn/dr.saffron_official_store,604,1894
41,Earldom,https://shopee.vn/earldom.store,418,1485
42,EL Mart,https://shopee.vn/elmartvn,0,0
43,Eleanor Accessories,https://shopee.vn/eleanoraccessories,370,1672
44,Emmi,https://shopee.vn/emmibedding,522,1240
45,Enchanteur,https://shopee.vn/enchanteur_vietnam,1730,4200
46,Enfa,https://shopee.vn/enfaofficialstore,920,1771
47,Erosska,https://shopee.vn/erosska,2036,9119
48,Essager,https://shopee.vn/essager.vn,851,2818
49,Eucerin,https://shopee.vn/eucerin.officialstore,854,2409
50,Everest,https://shopee.vn/thoitrangeverest,745,2510
51,F8888,https://shopee.vn/hangcongty,319,1332
52,Fahasa,https://shopee.vn/fahasa.com,445,1578
53,Famapro Official Store,https://shopee.vn/khautrangytefamapro,110,349
54,Farmasi,https://shopee.vn/kissnewyork_officialstore,252,631
55,Fasvin,https://shopee.vn/fasvin,232,1187
56,Feaer Denim,https://shopee.vn/feaer_store,118,692
57,Finetoo Official Store ,https://shopee.vn/finetoo.vn,56,147
