Order,Name,URL,Type
1,Abbott,https://shopee.vn/abbottofficial,Mẹ & Bé
2,Adidas Official Store,https://shopee.vn/adidasofficialstore,Thể Thao & Du Lịch
3,Alobuy,https://shopee.vn/1khovn_bach_hoa_tien_loi,Nhà Sách Online
4,Amak,https://shopee.vn/nhasachamak,Nhà Sách Online
5,An Nguyên,https://shopee.vn/sachhayquanhieu,Nhà Sách Online
6,Anbert Manga,https://shopee.vn/anbertmangashop,Nhà Sách Online
7,Anbert Manga Shop ,https://shopee.vn/anbertmangashop3103,Nhà Sách Online
8,Anessa,https://shopee.vn/anessaofficialstore,Sắc Đẹp
9,Anker,https://shopee.vn/ankervn,Điện Thoại & Phụ Kiện
10,Anlene,https://shopee.vn/anlene_officialstore,Bách Hóa Online
11,Babyhop,https://shopee.vn/babyhop_store,Đồ Chơi
12,Balo 4.0,https://shopee.vn/balocongnghe,Túi Ví Nữ
13,Bam Kitchen,https://shopee.vn/bambamstore274,Nhà Cửa & Đời Sống
14,Bánh Mì,https://shopee.vn/hieusachbanhmi,Nhà Sách Online
15,Banxeer,https://shopee.vn/banxeer.vn,Sắc Đẹp
16,Bảo Ngọc Jewelry,https://shopee.vn/baongocjewelry,Phụ Kiện & Trang Sức Nữ
17,Baseus Official Shop,https://shopee.vn/baseus.official.mall.vn,Thiết Bị Điện Tử
18,Basike Official Store ,https://shopee.vn/basike.vn,Điện Thoại & Phụ Kiện
19,Batino,https://shopee.vn/chovietbtw,Thời Trang Nam
20,Bbia,https://shopee.vn/bbia_officialstore,Sắc Đẹp
21,CAPMAN,https://shopee.vn/cap.man,Thời Trang Nam
22,CChat Clothes,https://shopee.vn/cchatclotheshn,Thời Trang Nữ
23,Cenota,https://shopee.vn/cenotaofficial,Sắc Đẹp
24,Cerelac,https://shopee.vn/nestlevnn,Bách Hóa Online
25,Chaang,https://shopee.vn/chaangvietnam,Thời Trang Trẻ Em
26,Choobe,https://shopee.vn/choobe.official,Thời Trang Nữ
27,Cindy Perfume Vietnam,https://shopee.vn/scc_officialstore,Sắc Đẹp
28,CkeyiN,https://shopee.vn/ckeyin.vn,Sắc Đẹp
29,Clean & Clear,https://shopee.vn/johnson_johnson_official,Sắc Đẹp
30,CNT,https://shopee.vn/tuixachcnt,Balo & Túi Ví Nam
31,Dabo,https://shopee.vn/thovaushop_officialstore,Sắc Đẹp
