Order,Name,URL,Type,Quantity Discount,Quantity Type Product,Year Join
1,Abbott,https://shopee.vn/abbottofficial,Mẹ & Bé,0,4,3
2,Adidas Official Store,https://shopee.vn/adidasofficialstore,Thể Thao & Du Lịch,2,19,4
3,Alobuy,https://shopee.vn/1khovn_bach_hoa_tien_loi,Nhà Sách Online,0,10,6
4,Amak,https://shopee.vn/nhasachamak,Nhà Sách Online,0,9,5
5,An Nguyên,https://shopee.vn/sachhayquanhieu,Nhà Sách Online,0,6,4
6,Anbert Manga,https://shopee.vn/anbertmangashop,Nhà Sách Online,0,8,6
7,Anbert Manga Shop ,https://shopee.vn/anbertmangashop3103,Nhà Sách Online,0,21,1
8,Anessa,https://shopee.vn/anessaofficialstore,Sắc Đẹp,0,6,4
9,Anker,https://shopee.vn/ankervn,Điện Thoại & Phụ Kiện,0,10,5
10,Anlene,https://shopee.vn/anlene_officialstore,Bách Hóa Online,0,11,3
11,Babyhop,https://shopee.vn/babyhop_store,Đồ Chơi,1,12,5
12,Balo 4.0,https://shopee.vn/balocongnghe,Túi Ví Nữ,0,12,4
13,Bam Kitchen,https://shopee.vn/bambamstore274,Nhà Cửa & Đời Sống,10,11,4
14,Bánh Mì,https://shopee.vn/hieusachbanhmi,Nhà Sách Online,0,13,5
15,Banxeer,https://shopee.vn/banxeer.vn,Sắc Đẹp,8,9,2
16,Bảo Ngọc Jewelry,https://shopee.vn/baongocjewelry,Phụ Kiện & Trang Sức Nữ,11,14,6
17,Baseus Official Shop,https://shopee.vn/baseus.official.mall.vn,Thiết Bị Điện Tử,1,20,3
18,Basike Official Store ,https://shopee.vn/basike.vn,Điện Thoại & Phụ Kiện,5,12,1
19,Batino,https://shopee.vn/chovietbtw,Thời Trang Nam,0,7,5
20,Bbia,https://shopee.vn/bbia_officialstore,Sắc Đẹp,7,16,6
21,CAPMAN,https://shopee.vn/cap.man,Thời Trang Nam,5,11,1
22,CChat Clothes,https://shopee.vn/cchatclotheshn,Thời Trang Nữ,8,8,4
23,Cenota,https://shopee.vn/cenotaofficial,Sắc Đẹp,3,17,2
24,Cerelac,https://shopee.vn/nestlevnn,Bách Hóa Online,0,17,4
25,Chaang,https://shopee.vn/chaangvietnam,Thời Trang Trẻ Em,0,9,5
26,Choobe,https://shopee.vn/choobe.official,Thời Trang Nữ,13,10,4
27,Cindy Perfume Vietnam,https://shopee.vn/scc_officialstore,Sắc Đẹp,1,12,5
28,CkeyiN,https://shopee.vn/ckeyin.vn,Sắc Đẹp,10,6,4
29,Clean & Clear,https://shopee.vn/johnson_johnson_official,Sắc Đẹp,0,11,4
30,CNT,https://shopee.vn/tuixachcnt,Balo & Túi Ví Nam,1,15,7
31,Dabo,https://shopee.vn/thovaushop_officialstore,Sắc Đẹp,0,18,5
32,DAVIES,https://shopee.vn/davies.vn,Thời Trang Nữ,0,13,4
33,Decathlon,https://shopee.vn/decathlon_vietnam,Túi Ví Nữ,5,8,2
